date,subject,semester,unit,question_no,correct,memo
2026-03-26 00:07,国語,二学期,大造じいさんとガン（物語）,4,1,
2026-03-26 06:07,算数,三学期,速さ（距離・時間・単位換算）,5,0,km/時 → m/分の換算ミス
2026-03-26 07:07,算数,一学期,体積（直方体・立方体・複合図形）,7,1,
2026-03-26 07:07,社会,一学期,国土の気候（6区分・雨温図）,10,0,雨温図から気候区分を見分けるのが難しい
2026-03-26 09:07,英語,三学期,Unit8 尊敬する人・将来の夢,4,1,
2026-03-27 03:07,社会,一学期,国土の気候（6区分・雨温図）,1,1,
2026-03-27 04:07,算数,一学期,小数のわり算,8,1,
2026-03-27 08:07,算数,三学期,速さ（距離・時間・単位換算）,4,0,出会い問題で速さの和を使い忘れた
2026-03-27 10:07,国語,二学期,大造じいさんとガン（物語）,3,1,
2026-03-28 00:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,4,1,
2026-03-28 02:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,12,1,
2026-03-28 04:07,算数,一学期,体積（直方体・立方体・複合図形）,9,0,単位換算（m³とcm³）
2026-03-28 10:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,5,0,食塩とミョウバンの違いを逆に覚えていた
2026-03-28 10:07,英語,二学期,Unit5 He/She can・人物紹介,12,0,She are → She isに修正できなかった
2026-03-28 11:07,算数,三学期,速さ（距離・時間・単位換算）,6,0,km/時 → m/分の換算ミス
2026-03-28 23:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,2,1,
2026-03-29 04:07,算数,一学期,体積（直方体・立方体・複合図形）,1,1,
2026-03-29 06:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,2,1,
2026-03-29 06:07,社会,一学期,国土の気候（6区分・雨温図）,6,1,
2026-03-29 09:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,5,1,
2026-03-29 10:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,1,0,食塩とミョウバンの違いを逆に覚えていた
2026-03-29 11:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,11,1,
2026-03-29 11:07,英語,三学期,Unit8 尊敬する人・将来の夢,1,0,I want to be a/an の使い分け
2026-03-29 23:07,理科,一学期,植物の発芽と成長（対照実験）,4,1,
2026-03-30 00:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,5,1,
2026-03-30 05:07,算数,一学期,体積（直方体・立方体・複合図形）,10,1,
2026-03-30 06:07,社会,三学期,自動車をつくる工業（工程・JIT）,7,1,
2026-03-30 08:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,10,0,参るの用法を間違えた
2026-03-30 10:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,8,1,
2026-03-30 23:07,英語,一学期,Unit1 誕生日・月・序数,10,1,
2026-03-31 02:07,算数,三学期,割合（%・歩合・3用法）,7,0,3用法の使い分けが混乱
2026-03-31 05:07,社会,三学期,自動車をつくる工業（工程・JIT）,1,1,
2026-03-31 06:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,12,0,謙譲語と尊敬語の区別が曖昧
2026-03-31 07:07,国語,二学期,大造じいさんとガン（物語）,1,0,情景描写の意味が取れない
2026-03-31 10:07,理科,一学期,植物の発芽と成長（対照実験）,5,0,対照実験の条件設定が不明確
2026-04-01 03:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,9,1,
2026-04-01 03:07,理科,三学期,電磁石の性質（コイル・極・強さ）,10,1,
2026-04-01 03:07,英語,三学期,Unit8 尊敬する人・将来の夢,9,1,
2026-04-01 09:07,英語,一学期,Unit1 誕生日・月・序数,6,1,
2026-04-01 10:07,算数,一学期,体積（直方体・立方体・複合図形）,12,1,
2026-04-01 11:07,国語,二学期,大造じいさんとガン（物語）,10,0,情景描写の意味が取れない
2026-04-02 02:07,算数,三学期,割合（%・歩合・3用法）,1,0,割引計算で×0.8を使い忘れた
2026-04-02 05:07,算数,一学期,小数のわり算,4,1,
2026-04-02 07:07,社会,三学期,自動車をつくる工業（工程・JIT）,10,1,
2026-04-03 00:07,理科,一学期,植物の発芽と成長（対照実験）,10,1,
2026-04-03 01:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,7,0,食塩とミョウバンの違いを逆に覚えていた
2026-04-03 03:07,英語,二学期,Unit5 He/She can・人物紹介,1,1,
2026-04-03 04:07,理科,三学期,電磁石の性質（コイル・極・強さ）,3,1,
2026-04-03 10:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,1,1,
2026-04-03 11:07,英語,三学期,Unit8 尊敬する人・将来の夢,6,1,
2026-04-03 23:07,算数,三学期,割合（%・歩合・3用法）,8,1,
2026-04-04 01:07,算数,三学期,割合（%・歩合・3用法）,2,1,
2026-04-04 02:07,算数,三学期,速さ（距離・時間・単位換算）,7,1,
2026-04-04 02:07,英語,二学期,Unit5 He/She can・人物紹介,3,0,She are → She isに修正できなかった
2026-04-04 05:07,英語,二学期,Unit5 He/She can・人物紹介,8,0,She are → She isに修正できなかった
2026-04-04 11:07,算数,三学期,割合（%・歩合・3用法）,12,1,
2026-04-04 23:07,理科,一学期,植物の発芽と成長（対照実験）,6,1,
2026-04-05 00:07,国語,一学期,漢字の成り立ち,8,0,部首の判別が難しい
2026-04-05 07:07,算数,三学期,割合（%・歩合・3用法）,5,0,歩合と百分率の変換ミス
2026-04-05 08:07,理科,三学期,電磁石の性質（コイル・極・強さ）,4,0,コイルの巻き数と電流の両方の影響
2026-04-06 04:07,社会,三学期,自動車をつくる工業（工程・JIT）,8,0,工程の順番を間違えた
2026-04-06 06:07,英語,一学期,Unit1 誕生日・月・序数,7,1,
2026-04-06 10:07,理科,一学期,植物の発芽と成長（対照実験）,9,1,
2026-04-06 10:07,社会,三学期,自動車をつくる工業（工程・JIT）,9,1,
2026-04-06 11:07,理科,三学期,電磁石の性質（コイル・極・強さ）,7,1,
2026-04-06 23:07,理科,三学期,電磁石の性質（コイル・極・強さ）,8,1,
2026-04-07 02:07,算数,三学期,速さ（距離・時間・単位換算）,1,1,
2026-04-07 06:07,算数,三学期,速さ（距離・時間・単位換算）,12,0,時間の単位変換（1.5時間→90分）
2026-04-08 01:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,4,1,
2026-04-08 02:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,8,1,
2026-04-08 04:07,英語,一学期,Unit1 誕生日・月・序数,2,1,
2026-04-08 10:07,国語,一学期,漢字の成り立ち,2,0,形声文字が紛らわしい
2026-04-09 09:07,理科,一学期,植物の発芽と成長（対照実験）,7,0,対照実験の条件設定が不明確
2026-04-09 09:07,社会,一学期,国土の気候（6区分・雨温図）,8,1,
2026-04-09 11:07,算数,一学期,体積（直方体・立方体・複合図形）,2,1,
2026-04-09 11:07,英語,一学期,Unit1 誕生日・月・序数,8,1,
2026-04-09 23:07,算数,三学期,割合（%・歩合・3用法）,10,1,
2026-04-10 00:07,国語,一学期,漢字の成り立ち,4,1,
2026-04-10 00:07,国語,二学期,大造じいさんとガン（物語）,8,0,心情変化の説明が難しい
2026-04-10 00:07,算数,一学期,小数のわり算,3,1,
2026-04-10 00:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,3,1,
2026-04-10 02:07,社会,一学期,国土の気候（6区分・雨温図）,9,1,
2026-04-10 03:07,算数,一学期,小数のわり算,6,0,÷小数のとき点の移動を間違えた
2026-04-10 05:07,算数,三学期,割合（%・歩合・3用法）,6,0,3用法の使い分けが混乱
2026-04-10 05:07,英語,二学期,Unit5 He/She can・人物紹介,5,0,be good at の後がing形
2026-04-10 07:07,算数,三学期,割合（%・歩合・3用法）,9,1,
2026-04-11 00:07,算数,一学期,体積（直方体・立方体・複合図形）,4,0,単位換算（m³とcm³）
2026-04-11 03:07,算数,三学期,割合（%・歩合・3用法）,13,1,
2026-04-11 03:07,社会,一学期,国土の気候（6区分・雨温図）,4,1,
2026-04-11 05:07,英語,三学期,Unit8 尊敬する人・将来の夢,10,1,
2026-04-11 09:07,国語,二学期,大造じいさんとガン（物語）,5,1,
2026-04-11 09:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,7,0,参るの用法を間違えた
2026-04-11 09:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,2,1,
2026-04-11 11:07,国語,一学期,漢字の成り立ち,1,1,
2026-04-11 23:07,理科,三学期,電磁石の性質（コイル・極・強さ）,5,1,
2026-04-11 23:07,英語,三学期,Unit8 尊敬する人・将来の夢,7,0,because の使い方
2026-04-12 00:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,7,1,
2026-04-12 03:07,算数,三学期,割合（%・歩合・3用法）,14,1,
2026-04-12 03:07,算数,三学期,速さ（距離・時間・単位換算）,8,1,
2026-04-12 04:07,国語,二学期,大造じいさんとガン（物語）,6,1,
2026-04-12 09:07,社会,三学期,自動車をつくる工業（工程・JIT）,6,0,ジャスト・イン・タイムの説明
2026-04-12 09:07,英語,一学期,Unit1 誕生日・月・序数,9,1,
2026-04-12 11:07,英語,一学期,Unit1 誕生日・月・序数,5,1,
2026-04-12 23:07,理科,一学期,植物の発芽と成長（対照実験）,2,1,
2026-04-13 01:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,4,1,
2026-04-13 02:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,3,1,
2026-04-13 06:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,6,1,
2026-04-13 10:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,11,0,いただく・召し上がるの使い分け
2026-04-13 10:07,算数,一学期,体積（直方体・立方体・複合図形）,11,0,L字型の複合図形で間違えた
2026-04-13 11:07,算数,一学期,体積（直方体・立方体・複合図形）,8,1,
2026-04-13 23:07,算数,三学期,割合（%・歩合・3用法）,3,1,
2026-04-14 00:07,算数,三学期,割合（%・歩合・3用法）,11,1,
2026-04-14 05:07,算数,三学期,速さ（距離・時間・単位換算）,10,0,km/時 → m/分の換算ミス
2026-04-14 06:07,算数,一学期,小数のわり算,2,1,
2026-04-14 06:07,英語,一学期,Unit1 誕生日・月・序数,4,1,
2026-04-15 00:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,3,0,いただく・召し上がるの使い分け
2026-04-15 01:07,理科,三学期,電磁石の性質（コイル・極・強さ）,9,1,
2026-04-15 01:07,社会,一学期,国土の気候（6区分・雨温図）,5,1,
2026-04-15 03:07,国語,一学期,漢字の成り立ち,10,0,形声文字が紛らわしい
2026-04-15 04:07,国語,二学期,大造じいさんとガン（物語）,2,0,心情変化の説明が難しい
2026-04-15 05:07,算数,三学期,速さ（距離・時間・単位換算）,3,0,出会い問題で速さの和を使い忘れた
2026-04-15 06:07,英語,二学期,Unit5 He/She can・人物紹介,10,0,三人称のcanの使い方
2026-04-15 09:07,算数,三学期,速さ（距離・時間・単位換算）,11,1,
2026-04-15 10:07,国語,一学期,漢字の成り立ち,5,1,
2026-04-16 00:07,理科,一学期,植物の発芽と成長（対照実験）,3,0,でんぷんの検出でヨウ素液の色を間違えた
2026-04-16 05:07,理科,一学期,植物の発芽と成長（対照実験）,1,1,
2026-04-16 11:07,英語,一学期,Unit1 誕生日・月・序数,1,1,
2026-04-17 00:07,英語,三学期,Unit8 尊敬する人・将来の夢,2,1,
2026-04-17 02:07,社会,一学期,国土の気候（6区分・雨温図）,3,1,
2026-04-17 04:07,英語,一学期,Unit1 誕生日・月・序数,3,0,序数のスペル（third・twelfth）を間違えた
2026-04-17 06:07,社会,三学期,自動車をつくる工業（工程・JIT）,3,0,工程の順番を間違えた
2026-04-17 07:07,英語,三学期,Unit8 尊敬する人・将来の夢,8,0,because の使い方
2026-04-17 10:07,算数,一学期,体積（直方体・立方体・複合図形）,6,1,
2026-04-17 23:07,社会,三学期,自動車をつくる工業（工程・JIT）,2,1,
2026-04-18 00:07,国語,二学期,大造じいさんとガン（物語）,7,1,
2026-04-18 00:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,10,1,
2026-04-18 02:07,国語,二学期,大造じいさんとガン（物語）,9,1,
2026-04-18 06:07,社会,一学期,国土の気候（6区分・雨温図）,2,0,雨温図から気候区分を見分けるのが難しい
2026-04-18 06:07,社会,三学期,自動車をつくる工業（工程・JIT）,5,1,
2026-04-18 08:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,9,1,
2026-04-18 10:07,算数,三学期,速さ（距離・時間・単位換算）,2,0,時間の単位変換（1.5時間→90分）
2026-04-18 11:07,理科,三学期,電磁石の性質（コイル・極・強さ）,6,1,
2026-04-18 11:07,英語,二学期,Unit5 He/She can・人物紹介,2,0,三人称のcanの使い方
2026-04-19 03:07,国語,一学期,漢字の成り立ち,3,0,形声文字が紛らわしい
2026-04-19 05:07,算数,一学期,小数のわり算,7,1,
2026-04-19 23:07,英語,二学期,Unit5 He/She can・人物紹介,11,1,
2026-04-20 00:07,算数,三学期,速さ（距離・時間・単位換算）,9,1,
2026-04-20 02:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,1,0,素数の判別ミス（1は素数でない）
2026-04-20 03:07,算数,一学期,小数のわり算,1,1,
2026-04-20 03:07,理科,三学期,電磁石の性質（コイル・極・強さ）,1,0,電流の向きと極の関係が曖昧
2026-04-20 04:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,6,0,謙譲語と尊敬語の区別が曖昧
2026-04-20 04:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,9,0,再結晶で取り出せる量の計算
2026-04-20 08:07,算数,一学期,体積（直方体・立方体・複合図形）,3,0,高さを求める逆算が苦手
2026-04-20 09:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,10,1,
2026-04-20 23:07,理科,一学期,植物の発芽と成長（対照実験）,8,1,
2026-04-21 01:07,国語,一学期,漢字の成り立ち,9,1,
2026-04-21 02:07,英語,二学期,Unit5 He/She can・人物紹介,6,0,be good at の後がing形
2026-04-21 03:07,算数,三学期,割合（%・歩合・3用法）,4,1,
2026-04-21 07:07,算数,一学期,体積（直方体・立方体・複合図形）,5,0,高さを求める逆算が苦手
2026-04-21 07:07,英語,二学期,Unit5 He/She can・人物紹介,4,0,She are → She isに修正できなかった
2026-04-21 08:07,英語,二学期,Unit5 He/She can・人物紹介,7,0,三人称のcanの使い方
2026-04-21 09:07,社会,一学期,国土の気候（6区分・雨温図）,7,1,
2026-04-22 00:07,国語,一学期,漢字の成り立ち,7,1,
2026-04-22 01:07,国語,一学期,漢字の成り立ち,6,1,
2026-04-22 06:07,社会,三学期,自動車をつくる工業（工程・JIT）,4,1,
2026-04-22 06:07,英語,三学期,Unit8 尊敬する人・将来の夢,3,1,
2026-04-22 07:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,6,0,最大公約数の計算ミス
2026-04-22 08:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,11,1,
2026-04-22 08:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,12,1,
2026-04-22 09:07,理科,三学期,電磁石の性質（コイル・極・強さ）,2,1,
2026-04-23 04:07,算数,一学期,小数のわり算,5,1,
2026-04-23 06:07,英語,三学期,Unit8 尊敬する人・将来の夢,5,1,
2026-04-23 07:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,8,1,
2026-04-23 08:07,算数,一学期,小数のわり算,9,1,
2026-04-23 08:07,算数,一学期,小数のわり算,10,1,
2026-04-23 08:07,英語,二学期,Unit5 He/She can・人物紹介,9,1,
